title;url;price;price_drop;image_url;category;gender
Gucci;https://www.matchesfashion.com/products/Gucci-Logo-sole-75-leather-platform-boots-1548966;1,320;;;Boots;women
Gianvito Rossi;https://www.matchesfashion.com/products/Gianvito-Rossi-Margaux-60-suede-ankle-boots-1510058;930;;;Boots;women
Bottega Veneta;https://www.matchesfashion.com/products/Bottega-Veneta-Monsieur-leather-boots-1557005;990;;;Boots;women
Ganni;https://www.matchesfashion.com/products/Ganni-Knee-high-chunky-leather-Chelsea-boots-1539536;445;;;Boots;women
Bogner;https://www.matchesfashion.com/products/Bogner-Sochi-shearling-lined-suede-lace-up-boots--1543671;390;;;Boots;women
Prada;https://www.matchesfashion.com/products/Prada-Re-Nylon-padded-snow-boots-1550564;950;;;Boots;women
Toral;https://www.matchesfashion.com/products/Toral-Far-suede-and-leather-cowboy-boots-1540072;440;;;Boots;women
Santoni;https://www.matchesfashion.com/products/Santoni-Fetlock-suede-lace-up-boots%09-1539983;610;;;Boots;women
Santoni;https://www.matchesfashion.com/products/Santoni-Libra-75-leather-platform-boots-1539978;570;;;Boots;women
Prada;https://www.matchesfashion.com/products/Prada-Blow-shearling-ankle-boots--1550563;1,290;;;Boots;women
Santoni;https://www.matchesfashion.com/products/Santoni-Libra-75-suede-knee-high-platform-boots-1539980;870;;;Boots;women
